offset		name					id
0		Alpine					alpine
1		AOSC OS					aosc
2		Apple					apple
3		Arch Linux				archlinux
4		CentOS					centos
5		CoreOS					coreos
6		Debian					debian
7		Devuan					devuan
8		Docker					docker
9		elementary OS				elementary
10		Fedora					fedora
11		Fedora (inverse)			fedora-inverse
12		FreeBSD					freebsd
13		Gentoo					gentoo
14		Linux Mint				linuxmint
15		Linux Mint (inverse)			linuxmint-inverse
16		Mageia					mageia
17		Mandriva				mandriva
18		Manjaro					manjaro
19		NixOS					nixos
20		OpenSUSE				opensuse
21		Raspberry pi				raspberry-pi
22		Red Hat					redhat
23		Sabayon					sabayon
24		Slackware				slackware
25		Slackware (inverse)			slackware-inverse
26		Tux					tux
27		Ubuntu					ubuntu
28		Ubuntu (inverse)			ubuntu-inverse
29		Alma Linux				almalinux
30		ArchLabs				archlabs
31		Artix Linux				artix
32		Budgie					budgie
33		Deepin					deepin
34		Endeavour OS				endeavour
35		Ferris					ferris
36		Flathub					flathub
37		GNU Guix				gnu-guix
38		illumos					illumos
39		Kali Linux				kali-linux
40		OpenBSD					openbsd
41		Parrot OS				parrot
42		Pop!_OS					pop-os
43		Rocky Linux				rocky-linux
44		Snappy					snappy
45		Solus					solus
46		Void					void
47		Zorin OS				zorin
48		ArcoLinux				arcolinux
49		Awesome WM				awesome
50		BigLinux				biglinux
51		bspwm					bspwm
52		Cinnamon				cinnamon
53		Codeberg				codeberg
54		Crystal Linux				crystal
55		dwm					dwm
56		Enlightenment				enlightenment
57		Fluxbox					fluxbox
58		Garuda Linux				garuda
59		GNOME					gnome
60		Hyperbola GNU/Linux-libre		hyperbola
61		Hyprland				hyprland
62		i3					i3
63		JWM					jwm
64		KDE neon				kde-neon
65		KDE Plasma				kde-plasma
66		Kubuntu					kubuntu
67		LXDE					lxde
68		LXLE Linux				lxle
69		LXQt					lxqt
70		MATE					mate
71		MX Linux				mxlinux
72		Neovim					neovim
73		Parabola GNU/Linux-libre 		parabola
74		Puppy Linux				puppy
75		Qtile					qtile
76		Sway					sway
77		Trisquel GNU/Linux			trisquel
78		Vanilla OS				vanilla
79		Wayland					wayland
80		XFCE					xfce
81		XMonad					xmonad
82		Xorg					xorg
